"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
30,70,"<b>NA</b><br>98 von 100 Gemeinden ausgezählt (98%)","<b>NA</b><br>98 des 100 communes sont connus (98%)","<b>Iniziativa popolare legislativa generica ""Per il rimborso delle cure dentarie""</b><br>98 dei 100 comuni sono noti (98%)"
74.1,25.9,"<b>NA</b><br>98 von 100 Gemeinden ausgezählt (98%)","<b>NA</b><br>98 des 100 communes sont connus (98%)","<b>Iniziativa popolare costituzionale elaborata ""Si alla neutralizzazione dell'aumento dei valori di stima""</b><br>98 dei 100 comuni sono noti (98%)"
