"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
54.9,45.1,"<b>Verkehrsinfrastruktur-Entwicklung Raum Suhr</b><br>181 von 196 Gemeinden ausgezählt (92.3%)","<b>NA</b><br>181 des 196 communes sont connus (92.3%)","<b>NA</b><br>181 dei 196 comuni sono noti (92.3%)"
40.9,59.1,"<b>Volksinitiative ""Bildungsqualität sichern – JETZT!""</b><br>181 von 196 Gemeinden ausgezählt (92.3%)","<b>NA</b><br>181 des 196 communes sont connus (92.3%)","<b>NA</b><br>181 dei 196 comuni sono noti (92.3%)"
