"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
57.4,42.6,"<b>Vertretung von Kantonsratsmitgliedern</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
28.8,71.2,"<b>Wohneigentums-Initiative</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
30.6,69.4,"<b>Wohnungsinitiative</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
62.9,37.1,"<b>Gegenvorschlag Wohnungsinitiative</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
30,70,"<b>Stichfrage Wohnungsinitiative</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
33.1,66.9,"<b>Wohnschutz-Initiative</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
59.4,40.6,"<b>Gegenvorschlag Wohnschutz-Initiative</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
32.1,67.9,"<b>Stichfrage Wohnschutz-Initiative</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
57.9,42.1,"<b>Volksinitiative «Stopp Prämien-Schock: Für eine automatische Entlastung bei den Krankenkassenprämien»</b><br>89 von 160 Gemeinden ausgezählt (55.6%)","<b>NA</b><br>89 des 160 communes sont connus (55.6%)","<b>NA</b><br>89 dei 160 comuni sono noti (55.6%)"
