"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,35.9,35.9,64.1,"Basel BS","Nein zum Zivildienstgesetz in Basel: 64,1 Prozent. Sowohl Basel als auch der Kanton Basel-Stadt verwerfen das Zivildienstgesetz."
2702,53.3,53.3,46.7,"Bettingen BS","In Bettingen wird das Zivildienstgesetz mit 53,3 Prozent angenommen. Bettingen nimmt das Zivildienstgesetz an, der Kanton Basel-Stadt lehnt es ab."
2703,48.5,48.5,51.5,"Riehen BS","Nein zum Zivildienstgesetz in Riehen: 51,5 Prozent. Sowohl Riehen als auch der Kanton Basel-Stadt verwerfen das Zivildienstgesetz."
