"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
159,54.8,54.8,45.2,"Uetikon am See ZH","In Uetikon am See ist die Initiative ""Stopp Prämien-Schock"" mit 54,8 Prozent der Stimmen angenommen worden."
160,52.5,52.5,47.5,"Zumikon ZH","52,5 Prozent der Stimmbürgerinnen und Stimmbürger von Zumikon haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
161,49,49,51,"Zollikon ZH","In Zollikon hat die Initiative ""Stopp Prämien-Schock"" keine Mehrheit gefunden: 51 Prozent lehnen die Vorlage ab."
172,56,56,44,"Fehraltorf ZH","56 Prozent der Stimmbürgerinnen und Stimmbürger in Fehraltorf sagen Ja zur Initiative ""Stopp Prämien-Schock""."
173,62.2,62.2,37.8,"Hittnau ZH","In Hittnau ist die Initiative ""Stopp Prämien-Schock"" mit 62,2 Prozent der Stimmen angenommen worden."
176,60.5,60.5,39.5,"Lindau ZH","60,5 Prozent der Stimmbürgerinnen und Stimmbürger von Lindau haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
177,55.3,55.3,44.7,"Pfäffikon ZH","55,3 Prozent der Stimmbürgerinnen und Stimmbürger in Pfäffikon sagen Ja zur Initiative ""Stopp Prämien-Schock""."
178,58.7,58.7,41.3,"Russikon ZH","58,7 Prozent der Stimmbürgerinnen und Stimmbürger von Russikon haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
180,59.6,59.6,40.4,"Weisslingen ZH","59,6 Prozent der Stimmbürgerinnen und Stimmbürger in Weisslingen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
181,65.6,65.6,34.4,"Wila ZH","65,6 Prozent der Stimmbürgerinnen und Stimmbürger in Wila sagen Ja zur Initiative ""Stopp Prämien-Schock""."
182,59.9,59.9,40.1,"Wildberg ZH","59,9 Prozent der Stimmbürgerinnen und Stimmbürger von Wildberg haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
191,50,0,0,"Dübendorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
192,56.8,56.8,43.2,"Egg ZH","In Egg ist die Initiative ""Stopp Prämien-Schock"" mit 56,8 Prozent der Stimmen angenommen worden."
193,57,57,43,"Fällanden ZH","In Fällanden ist die Initiative ""Stopp Prämien-Schock"" mit 57 Prozent der Stimmen angenommen worden."
194,52.9,52.9,47.1,"Greifensee ZH","In Greifensee ist die Initiative ""Stopp Prämien-Schock"" mit 52,9 Prozent der Stimmen angenommen worden."
195,56.3,56.3,43.7,"Maur ZH","56,3 Prozent der Stimmbürgerinnen und Stimmbürger von Maur haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
196,57.1,57.1,42.9,"Mönchaltorf ZH","57,1 Prozent der Stimmbürgerinnen und Stimmbürger von Mönchaltorf haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
197,58.4,58.4,41.6,"Schwerzenbach ZH","In Schwerzenbach ist die Initiative ""Stopp Prämien-Schock"" mit 58,4 Prozent der Stimmen angenommen worden."
198,51.3,51.3,48.7,"Uster ZH","51,3 Prozent der Stimmbürgerinnen und Stimmbürger von Uster haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
199,63,63,37,"Volketswil ZH","In Volketswil ist die Initiative ""Stopp Prämien-Schock"" mit 63 Prozent der Stimmen angenommen worden."
200,62.4,62.4,37.6,"Wangen-Brüttisellen ZH","62,4 Prozent der Stimmbürgerinnen und Stimmbürger von Wangen-Brüttisellen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
211,63.7,63.7,36.3,"Altikon ZH","In Altikon ist die Initiative ""Stopp Prämien-Schock"" mit 63,7 Prozent der Stimmen angenommen worden."
213,56.5,56.5,43.5,"Brütten ZH","56,5 Prozent der Stimmbürgerinnen und Stimmbürger in Brütten sagen Ja zur Initiative ""Stopp Prämien-Schock""."
214,59.9,59.9,40.1,"Dägerlen ZH","In Dägerlen ist die Initiative ""Stopp Prämien-Schock"" mit 59,9 Prozent der Stimmen angenommen worden."
215,58.8,58.8,41.2,"Dättlikon ZH","In Dättlikon ist die Initiative ""Stopp Prämien-Schock"" mit 58,8 Prozent der Stimmen angenommen worden."
